Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
The `load_in_4bit` and `load_in_8bit` arguments are deprecated and will be removed in the future versions. Please, pass a `BitsAndBytesConfig` object in `quantization_config` argument instead.
/home/chunhui/miniconda3/envs/world_model/lib/python3.8/site-packages/torch/_utils.py:776: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()

===================================BUG REPORT===================================
Welcome to bitsandbytes. For bug reports, please run

python -m bitsandbytes

 and submit this information together with your error trace to: https://github.com/TimDettmers/bitsandbytes/issues
================================================================================
bin /home/chunhui/.local/lib/python3.8/site-packages/bitsandbytes/libbitsandbytes_cuda118.so
CUDA SETUP: CUDA runtime path found: /home/chunhui/miniconda3/envs/world_model/lib/libcudart.so.11.0
CUDA SETUP: Highest compute capability among GPUs detected: 8.6
CUDA SETUP: Detected CUDA version 118
CUDA SETUP: Loading binary /home/chunhui/.local/lib/python3.8/site-packages/bitsandbytes/libbitsandbytes_cuda118.so...
trainable params: 3670016 || all params: 6054552800 || trainable%: 0.060615806339982696
EWCLoRAModel(
  (model): PeftModelForCausalLM(
    (base_model): LoraModel(
      (model): GPTJForCausalLM(
        (transformer): GPTJModel(
          (wte): Embedding(50400, 4096)
          (drop): Dropout(p=0.0, inplace=False)
          (h): ModuleList(
            (0-27): 28 x GPTJBlock(
              (ln_1): LayerNorm((4096,), eps=1e-05, elementwise_affine=True)
              (attn): GPTJAttention(
                (attn_dropout): Dropout(p=0.0, inplace=False)
                (resid_dropout): Dropout(p=0.0, inplace=False)
                (k_proj): Linear8bitLt(in_features=4096, out_features=4096, bias=False)
                (v_proj): Linear8bitLt(
                  in_features=4096, out_features=4096, bias=False
                  (lora_dropout): ModuleDict(
                    (default): Dropout(p=0.1, inplace=False)
                  )
                  (lora_A): ModuleDict(
                    (default): Linear(in_features=4096, out_features=8, bias=False)
                  )
                  (lora_B): ModuleDict(
                    (default): Linear(in_features=8, out_features=4096, bias=False)
                  )
                  (lora_embedding_A): ParameterDict()
                  (lora_embedding_B): ParameterDict()
                )
                (q_proj): Linear8bitLt(
                  in_features=4096, out_features=4096, bias=False
                  (lora_dropout): ModuleDict(
                    (default): Dropout(p=0.1, inplace=False)
                  )
                  (lora_A): ModuleDict(
                    (default): Linear(in_features=4096, out_features=8, bias=False)
                  )
                  (lora_B): ModuleDict(
                    (default): Linear(in_features=8, out_features=4096, bias=False)
                  )
                  (lora_embedding_A): ParameterDict()
                  (lora_embedding_B): ParameterDict()
                )
                (out_proj): Linear8bitLt(in_features=4096, out_features=4096, bias=False)
              )
              (mlp): GPTJMLP(
                (fc_in): Linear8bitLt(in_features=4096, out_features=16384, bias=True)
                (fc_out): Linear8bitLt(in_features=16384, out_features=4096, bias=True)
                (act): NewGELUActivation()
                (dropout): Dropout(p=0.0, inplace=False)
              )
            )
          )
          (ln_f): LayerNorm((4096,), eps=1e-05, elementwise_affine=True)
        )
        (lm_head): Linear(in_features=4096, out_features=50400, bias=True)
      )
    )
  )
)

  0%|          | 0/266 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`...
/home/chunhui/.local/lib/python3.8/site-packages/bitsandbytes/autograd/_functions.py:318: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")

Epoch 0 - Loss: 1.1047, CE Loss: 1.1047:   0%|          | 0/266 [00:02<?, ?it/s]
Epoch 0 - Loss: 0.8036, CE Loss: 0.8036:   0%|          | 0/266 [00:07<?, ?it/s]
Epoch 0 - Loss: 0.7407, CE Loss: 0.7407:   0%|          | 0/266 [00:12<?, ?it/s]
Epoch 0 - Loss: 0.7972, CE Loss: 0.7972:   0%|          | 0/266 [00:18<?, ?it/s]
Epoch 0 - Loss: 0.7972, CE Loss: 0.7972:   0%|          | 1/266 [00:22<1:38:21, 22.27s/it]
Epoch 0 - Loss: 0.7385, CE Loss: 0.7385:   0%|          | 1/266 [00:23<1:38:21, 22.27s/it]
Epoch 0 - Loss: 0.8770, CE Loss: 0.8770:   0%|          | 1/266 [00:28<1:38:21, 22.27s/it]
Epoch 0 - Loss: 0.5649, CE Loss: 0.5649:   0%|          | 1/266 [00:34<1:38:21, 22.27s/it]
Epoch 0 - Loss: 1.4338, CE Loss: 1.4338:   0%|          | 1/266 [00:39<1:38:21, 22.27s/it]
Epoch 0 - Loss: 1.4338, CE Loss: 1.4338:   1%|          | 2/266 [00:43<1:35:45, 21.76s/it]
Epoch 0 - Loss: 0.8478, CE Loss: 0.8478:   1%|          | 2/266 [00:45<1:35:45, 21.76s/it]
Epoch 0 - Loss: 0.6230, CE Loss: 0.6230:   1%|          | 2/266 [00:50<1:35:45, 21.76s/it]
Epoch 0 - Loss: 0.7832, CE Loss: 0.7832:   1%|          | 2/266 [00:55<1:35:45, 21.76s/it]
Epoch 0 - Loss: 1.0534, CE Loss: 1.0534:   1%|          | 2/266 [01:01<1:35:45, 21.76s/it]
Epoch 0 - Loss: 1.0534, CE Loss: 1.0534:   1%|          | 3/266 [01:05<1:34:50, 21.64s/it]
Epoch 0 - Loss: 1.3191, CE Loss: 1.3191:   1%|          | 3/266 [01:06<1:34:50, 21.64s/it]
Epoch 0 - Loss: 1.3183, CE Loss: 1.3183:   1%|          | 3/266 [01:11<1:34:50, 21.64s/it]
Epoch 0 - Loss: 0.6844, CE Loss: 0.6844:   1%|          | 3/266 [01:17<1:34:50, 21.64s/it]
Epoch 0 - Loss: 1.2876, CE Loss: 1.2876:   1%|          | 3/266 [01:22<1:34:50, 21.64s/it]
Epoch 0 - Loss: 1.2876, CE Loss: 1.2876:   2%|▏         | 4/266 [01:26<1:34:22, 21.61s/it]
Epoch 0 - Loss: 0.8667, CE Loss: 0.8667:   2%|▏         | 4/266 [01:28<1:34:22, 21.61s/it]
Epoch 0 - Loss: 0.5770, CE Loss: 0.5770:   2%|▏         | 4/266 [01:33<1:34:22, 21.61s/it]
Epoch 0 - Loss: 0.9872, CE Loss: 0.9872:   2%|▏         | 4/266 [01:38<1:34:22, 21.61s/it]
Epoch 0 - Loss: 0.7020, CE Loss: 0.7020:   2%|▏         | 4/266 [01:44<1:34:22, 21.61s/it]
Epoch 0 - Loss: 0.7020, CE Loss: 0.7020:   2%|▏         | 5/266 [01:48<1:34:06, 21.63s/it]
Epoch 0 - Loss: 0.6765, CE Loss: 0.6765:   2%|▏         | 5/266 [01:49<1:34:06, 21.63s/it]
Epoch 0 - Loss: 0.9454, CE Loss: 0.9454:   2%|▏         | 5/266 [01:55<1:34:06, 21.63s/it]
Epoch 0 - Loss: 0.9097, CE Loss: 0.9097:   2%|▏         | 5/266 [02:00<1:34:06, 21.63s/it]
Epoch 0 - Loss: 1.0350, CE Loss: 1.0350:   2%|▏         | 5/266 [02:05<1:34:06, 21.63s/it]
Epoch 0 - Loss: 1.0350, CE Loss: 1.0350:   2%|▏         | 6/266 [02:10<1:33:43, 21.63s/it]
Epoch 0 - Loss: 0.9334, CE Loss: 0.9334:   2%|▏         | 6/266 [02:11<1:33:43, 21.63s/it]
Epoch 0 - Loss: 0.6905, CE Loss: 0.6905:   2%|▏         | 6/266 [02:16<1:33:43, 21.63s/it]
Epoch 0 - Loss: 0.7629, CE Loss: 0.7629:   2%|▏         | 6/266 [02:22<1:33:43, 21.63s/it]
Epoch 0 - Loss: 0.9129, CE Loss: 0.9129:   2%|▏         | 6/266 [02:27<1:33:43, 21.63s/it]
Epoch 0 - Loss: 0.9129, CE Loss: 0.9129:   3%|▎         | 7/266 [02:31<1:33:24, 21.64s/it]
Epoch 0 - Loss: 0.7719, CE Loss: 0.7719:   3%|▎         | 7/266 [02:33<1:33:24, 21.64s/it]
Epoch 0 - Loss: 0.8993, CE Loss: 0.8993:   3%|▎         | 7/266 [02:38<1:33:24, 21.64s/it]
Epoch 0 - Loss: 0.6578, CE Loss: 0.6578:   3%|▎         | 7/266 [02:43<1:33:24, 21.64s/it]
Epoch 0 - Loss: 0.6170, CE Loss: 0.6170:   3%|▎         | 7/266 [02:49<1:33:24, 21.64s/it]
Epoch 0 - Loss: 0.6170, CE Loss: 0.6170:   3%|▎         | 8/266 [02:53<1:33:06, 21.65s/it]
Epoch 0 - Loss: 0.8442, CE Loss: 0.8442:   3%|▎         | 8/266 [02:54<1:33:06, 21.65s/it]
Epoch 0 - Loss: 1.1185, CE Loss: 1.1185:   3%|▎         | 8/266 [03:00<1:33:06, 21.65s/it]
Epoch 0 - Loss: 0.9745, CE Loss: 0.9745:   3%|▎         | 8/266 [03:05<1:33:06, 21.65s/it]
Epoch 0 - Loss: 0.7750, CE Loss: 0.7750:   3%|▎         | 8/266 [03:11<1:33:06, 21.65s/it]
Epoch 0 - Loss: 0.7750, CE Loss: 0.7750:   3%|▎         | 9/266 [03:15<1:32:52, 21.68s/it]
Epoch 0 - Loss: 1.1618, CE Loss: 1.1618:   3%|▎         | 9/266 [03:16<1:32:52, 21.68s/it]
Epoch 0 - Loss: 0.7632, CE Loss: 0.7632:   3%|▎         | 9/266 [03:21<1:32:52, 21.68s/it]
Epoch 0 - Loss: 0.4432, CE Loss: 0.4432:   3%|▎         | 9/266 [03:27<1:32:52, 21.68s/it]
Epoch 0 - Loss: 0.8512, CE Loss: 0.8512:   3%|▎         | 9/266 [03:32<1:32:52, 21.68s/it]
Epoch 0 - Loss: 0.8512, CE Loss: 0.8512:   4%|▍         | 10/266 [03:36<1:32:26, 21.67s/it]
Epoch 0 - Loss: 1.9366, CE Loss: 1.9366:   4%|▍         | 10/266 [03:38<1:32:26, 21.67s/it]
Epoch 0 - Loss: 0.6978, CE Loss: 0.6978:   4%|▍         | 10/266 [03:43<1:32:26, 21.67s/it]
Epoch 0 - Loss: 1.2878, CE Loss: 1.2878:   4%|▍         | 10/266 [03:48<1:32:26, 21.67s/it]
Epoch 0 - Loss: 1.4065, CE Loss: 1.4065:   4%|▍         | 10/266 [03:54<1:32:26, 21.67s/it]
Epoch 0 - Loss: 1.4065, CE Loss: 1.4065:   4%|▍         | 11/266 [03:58<1:32:04, 21.66s/it]
Epoch 0 - Loss: 0.5379, CE Loss: 0.5379:   4%|▍         | 11/266 [03:59<1:32:04, 21.66s/it]
Epoch 0 - Loss: 0.6824, CE Loss: 0.6824:   4%|▍         | 11/266 [04:05<1:32:04, 21.66s/it]
Epoch 0 - Loss: 1.2532, CE Loss: 1.2532:   4%|▍         | 11/266 [04:10<1:32:04, 21.66s/it]
Epoch 0 - Loss: 0.9923, CE Loss: 0.9923:   4%|▍         | 11/266 [04:15<1:32:04, 21.66s/it]
Epoch 0 - Loss: 0.9923, CE Loss: 0.9923:   5%|▍         | 12/266 [04:20<1:31:37, 21.65s/it]
Epoch 0 - Loss: 0.5563, CE Loss: 0.5563:   5%|▍         | 12/266 [04:21<1:31:37, 21.65s/it]
Epoch 0 - Loss: 0.8639, CE Loss: 0.8639:   5%|▍         | 12/266 [04:26<1:31:37, 21.65s/it]
Epoch 0 - Loss: 0.6083, CE Loss: 0.6083:   5%|▍         | 12/266 [04:32<1:31:37, 21.65s/it]
Epoch 0 - Loss: 0.7283, CE Loss: 0.7283:   5%|▍         | 12/266 [04:37<1:31:37, 21.65s/it]
Epoch 0 - Loss: 0.7283, CE Loss: 0.7283:   5%|▍         | 13/266 [04:41<1:31:19, 21.66s/it]
Epoch 0 - Loss: 0.7188, CE Loss: 0.7188:   5%|▍         | 13/266 [04:43<1:31:19, 21.66s/it]
Epoch 0 - Loss: 0.3328, CE Loss: 0.3328:   5%|▍         | 13/266 [04:48<1:31:19, 21.66s/it]
Epoch 0 - Loss: 0.2735, CE Loss: 0.2735:   5%|▍         | 13/266 [04:53<1:31:19, 21.66s/it]
Epoch 0 - Loss: 0.9571, CE Loss: 0.9571:   5%|▍         | 13/266 [04:59<1:31:19, 21.66s/it]
Epoch 0 - Loss: 0.9571, CE Loss: 0.9571:   5%|▌         | 14/266 [05:03<1:31:04, 21.68s/it]
Epoch 0 - Loss: 0.5213, CE Loss: 0.5213:   5%|▌         | 14/266 [05:04<1:31:04, 21.68s/it]
Epoch 0 - Loss: 0.4765, CE Loss: 0.4765:   5%|▌         | 14/266 [05:10<1:31:04, 21.68s/it]
Epoch 0 - Loss: 0.7260, CE Loss: 0.7260:   5%|▌         | 14/266 [05:15<1:31:04, 21.68s/it]
Epoch 0 - Loss: 0.8119, CE Loss: 0.8119:   5%|▌         | 14/266 [05:21<1:31:04, 21.68s/it]
Epoch 0 - Loss: 0.8119, CE Loss: 0.8119:   6%|▌         | 15/266 [05:25<1:30:47, 21.70s/it]
Epoch 0 - Loss: 0.8983, CE Loss: 0.8983:   6%|▌         | 15/266 [05:26<1:30:47, 21.70s/it]
Epoch 0 - Loss: 0.6614, CE Loss: 0.6614:   6%|▌         | 15/266 [05:31<1:30:47, 21.70s/it]
Epoch 0 - Loss: 0.8118, CE Loss: 0.8118:   6%|▌         | 15/266 [05:37<1:30:47, 21.70s/it]
Epoch 0 - Loss: 0.5975, CE Loss: 0.5975:   6%|▌         | 15/266 [05:42<1:30:47, 21.70s/it]
Epoch 0 - Loss: 0.5975, CE Loss: 0.5975:   6%|▌         | 16/266 [05:46<1:30:19, 21.68s/it]
Epoch 0 - Loss: 0.9392, CE Loss: 0.9392:   6%|▌         | 16/266 [05:48<1:30:19, 21.68s/it]
Epoch 0 - Loss: 0.7129, CE Loss: 0.7129:   6%|▌         | 16/266 [05:53<1:30:19, 21.68s/it]
Epoch 0 - Loss: 0.4937, CE Loss: 0.4937:   6%|▌         | 16/266 [05:58<1:30:19, 21.68s/it]
Epoch 0 - Loss: 0.7558, CE Loss: 0.7558:   6%|▌         | 16/266 [06:04<1:30:19, 21.68s/it]
Epoch 0 - Loss: 0.7558, CE Loss: 0.7558:   6%|▋         | 17/266 [06:08<1:29:58, 21.68s/it]
Epoch 0 - Loss: 0.7129, CE Loss: 0.7129:   6%|▋         | 17/266 [06:09<1:29:58, 21.68s/it]
Epoch 0 - Loss: 0.3532, CE Loss: 0.3532:   6%|▋         | 17/266 [06:15<1:29:58, 21.68s/it]
Epoch 0 - Loss: 0.6690, CE Loss: 0.6690:   6%|▋         | 17/266 [06:20<1:29:58, 21.68s/it]
Epoch 0 - Loss: 0.7905, CE Loss: 0.7905:   6%|▋         | 17/266 [06:26<1:29:58, 21.68s/it]
Epoch 0 - Loss: 0.7905, CE Loss: 0.7905:   7%|▋         | 18/266 [06:30<1:29:36, 21.68s/it]
Epoch 0 - Loss: 0.5877, CE Loss: 0.5877:   7%|▋         | 18/266 [06:31<1:29:36, 21.68s/it]
Epoch 0 - Loss: 0.5437, CE Loss: 0.5437:   7%|▋         | 18/266 [06:36<1:29:36, 21.68s/it]
Epoch 0 - Loss: 1.0396, CE Loss: 1.0396:   7%|▋         | 18/266 [06:42<1:29:36, 21.68s/it]
Epoch 0 - Loss: 1.0331, CE Loss: 1.0331:   7%|▋         | 18/266 [06:47<1:29:36, 21.68s/it]
Epoch 0 - Loss: 1.0331, CE Loss: 1.0331:   7%|▋         | 19/266 [06:51<1:29:10, 21.66s/it]
Epoch 0 - Loss: 0.7936, CE Loss: 0.7936:   7%|▋         | 19/266 [06:53<1:29:10, 21.66s/it]
Epoch 0 - Loss: 0.9538, CE Loss: 0.9538:   7%|▋         | 19/266 [06:58<1:29:10, 21.66s/it]
Epoch 0 - Loss: 0.5520, CE Loss: 0.5520:   7%|▋         | 19/266 [07:03<1:29:10, 21.66s/it]
Epoch 0 - Loss: 0.5721, CE Loss: 0.5721:   7%|▋         | 19/266 [07:09<1:29:10, 21.66s/it]
Epoch 0 - Loss: 0.5721, CE Loss: 0.5721:   8%|▊         | 20/266 [07:13<1:28:51, 21.67s/it]
Epoch 0 - Loss: 0.4498, CE Loss: 0.4498:   8%|▊         | 20/266 [07:14<1:28:51, 21.67s/it]
Epoch 0 - Loss: 0.8728, CE Loss: 0.8728:   8%|▊         | 20/266 [07:20<1:28:51, 21.67s/it]
Epoch 0 - Loss: 0.7347, CE Loss: 0.7347:   8%|▊         | 20/266 [07:25<1:28:51, 21.67s/it]
Epoch 0 - Loss: 0.8841, CE Loss: 0.8841:   8%|▊         | 20/266 [07:31<1:28:51, 21.67s/it]
Epoch 0 - Loss: 0.8841, CE Loss: 0.8841:   8%|▊         | 21/266 [07:35<1:28:31, 21.68s/it]
Epoch 0 - Loss: 0.5494, CE Loss: 0.5494:   8%|▊         | 21/266 [07:36<1:28:31, 21.68s/it]
Epoch 0 - Loss: 0.6934, CE Loss: 0.6934:   8%|▊         | 21/266 [07:41<1:28:31, 21.68s/it]
Epoch 0 - Loss: 0.4325, CE Loss: 0.4325:   8%|▊         | 21/266 [07:47<1:28:31, 21.68s/it]
Epoch 0 - Loss: 0.2986, CE Loss: 0.2986:   8%|▊         | 21/266 [07:52<1:28:31, 21.68s/it]
Epoch 0 - Loss: 0.2986, CE Loss: 0.2986:   8%|▊         | 22/266 [07:56<1:28:18, 21.72s/it]
Epoch 0 - Loss: 0.5631, CE Loss: 0.5631:   8%|▊         | 22/266 [07:58<1:28:18, 21.72s/it]
Epoch 0 - Loss: 1.2715, CE Loss: 1.2715:   8%|▊         | 22/266 [08:03<1:28:18, 21.72s/it]
Epoch 0 - Loss: 0.5487, CE Loss: 0.5487:   8%|▊         | 22/266 [08:09<1:28:18, 21.72s/it]
Epoch 0 - Loss: 0.6288, CE Loss: 0.6288:   8%|▊         | 22/266 [08:14<1:28:18, 21.72s/it]
Epoch 0 - Loss: 0.6288, CE Loss: 0.6288:   9%|▊         | 23/266 [08:18<1:27:48, 21.68s/it]
Epoch 0 - Loss: 1.2304, CE Loss: 1.2304:   9%|▊         | 23/266 [08:19<1:27:48, 21.68s/it]
Epoch 0 - Loss: 0.7978, CE Loss: 0.7978:   9%|▊         | 23/266 [08:25<1:27:48, 21.68s/it]
Epoch 0 - Loss: 0.7092, CE Loss: 0.7092:   9%|▊         | 23/266 [08:30<1:27:48, 21.68s/it]
Epoch 0 - Loss: 0.6644, CE Loss: 0.6644:   9%|▊         | 23/266 [08:36<1:27:48, 21.68s/it]
Epoch 0 - Loss: 0.6644, CE Loss: 0.6644:   9%|▉         | 24/266 [08:40<1:27:21, 21.66s/it]
Epoch 0 - Loss: 0.6573, CE Loss: 0.6573:   9%|▉         | 24/266 [08:41<1:27:21, 21.66s/it]
Epoch 0 - Loss: 0.3598, CE Loss: 0.3598:   9%|▉         | 24/266 [08:46<1:27:21, 21.66s/it]
Epoch 0 - Loss: 0.9015, CE Loss: 0.9015:   9%|▉         | 24/266 [08:52<1:27:21, 21.66s/it]
Epoch 0 - Loss: 0.4046, CE Loss: 0.4046:   9%|▉         | 24/266 [08:57<1:27:21, 21.66s/it]
Epoch 0 - Loss: 0.4046, CE Loss: 0.4046:   9%|▉         | 25/266 [09:01<1:26:59, 21.66s/it]
Epoch 0 - Loss: 0.5640, CE Loss: 0.5640:   9%|▉         | 25/266 [09:03<1:26:59, 21.66s/it]
Epoch 0 - Loss: 0.5876, CE Loss: 0.5876:   9%|▉         | 25/266 [09:08<1:26:59, 21.66s/it]
Epoch 0 - Loss: 0.6085, CE Loss: 0.6085:   9%|▉         | 25/266 [09:14<1:26:59, 21.66s/it]
Epoch 0 - Loss: 0.7718, CE Loss: 0.7718:   9%|▉         | 25/266 [09:19<1:26:59, 21.66s/it]
Epoch 0 - Loss: 0.7718, CE Loss: 0.7718:  10%|▉         | 26/266 [09:23<1:26:39, 21.66s/it]
Epoch 0 - Loss: 0.8421, CE Loss: 0.8421:  10%|▉         | 26/266 [09:24<1:26:39, 21.66s/it]
Epoch 0 - Loss: 0.5282, CE Loss: 0.5282:  10%|▉         | 26/266 [09:30<1:26:39, 21.66s/it]
Epoch 0 - Loss: 0.7325, CE Loss: 0.7325:  10%|▉         | 26/266 [09:35<1:26:39, 21.66s/it]
Epoch 0 - Loss: 1.1286, CE Loss: 1.1286:  10%|▉         | 26/266 [09:41<1:26:39, 21.66s/it]
Epoch 0 - Loss: 1.1286, CE Loss: 1.1286:  10%|█         | 27/266 [09:45<1:26:21, 21.68s/it]
Epoch 0 - Loss: 0.6344, CE Loss: 0.6344:  10%|█         | 27/266 [09:46<1:26:21, 21.68s/it]
Epoch 0 - Loss: 0.8190, CE Loss: 0.8190:  10%|█         | 27/266 [09:52<1:26:21, 21.68s/it]
Epoch 0 - Loss: 0.3742, CE Loss: 0.3742:  10%|█         | 27/266 [09:57<1:26:21, 21.68s/it]
Epoch 0 - Loss: 0.7645, CE Loss: 0.7645:  10%|█         | 27/266 [10:02<1:26:21, 21.68s/it]
Epoch 0 - Loss: 0.7645, CE Loss: 0.7645:  11%|█         | 28/266 [10:06<1:26:01, 21.69s/it]
Epoch 0 - Loss: 0.4029, CE Loss: 0.4029:  11%|█         | 28/266 [10:08<1:26:01, 21.69s/it]
Epoch 0 - Loss: 0.5271, CE Loss: 0.5271:  11%|█         | 28/266 [10:13<1:26:01, 21.69s/it]
Epoch 0 - Loss: 0.7707, CE Loss: 0.7707:  11%|█         | 28/266 [10:19<1:26:01, 21.69s/it]
Epoch 0 - Loss: 0.4473, CE Loss: 0.4473:  11%|█         | 28/266 [10:24<1:26:01, 21.69s/it]
Epoch 0 - Loss: 0.4473, CE Loss: 0.4473:  11%|█         | 29/266 [10:28<1:25:34, 21.66s/it]
Epoch 0 - Loss: 0.5363, CE Loss: 0.5363:  11%|█         | 29/266 [10:29<1:25:34, 21.66s/it]
Epoch 0 - Loss: 0.7299, CE Loss: 0.7299:  11%|█         | 29/266 [10:35<1:25:34, 21.66s/it]
Epoch 0 - Loss: 0.4463, CE Loss: 0.4463:  11%|█         | 29/266 [10:40<1:25:34, 21.66s/it]
Epoch 0 - Loss: 0.3489, CE Loss: 0.3489:  11%|█         | 29/266 [10:46<1:25:34, 21.66s/it]
Epoch 0 - Loss: 0.3489, CE Loss: 0.3489:  11%|█▏        | 30/266 [10:50<1:25:20, 21.70s/it]
Epoch 0 - Loss: 0.7871, CE Loss: 0.7871:  11%|█▏        | 30/266 [10:51<1:25:20, 21.70s/it]
Epoch 0 - Loss: 1.0007, CE Loss: 1.0007:  11%|█▏        | 30/266 [10:57<1:25:20, 21.70s/it]
Epoch 0 - Loss: 0.6771, CE Loss: 0.6771:  11%|█▏        | 30/266 [11:02<1:25:20, 21.70s/it]
Epoch 0 - Loss: 0.5111, CE Loss: 0.5111:  11%|█▏        | 30/266 [11:07<1:25:20, 21.70s/it]
Epoch 0 - Loss: 0.5111, CE Loss: 0.5111:  12%|█▏        | 31/266 [11:11<1:24:50, 21.66s/it]
Epoch 0 - Loss: 0.2569, CE Loss: 0.2569:  12%|█▏        | 31/266 [11:13<1:24:50, 21.66s/it]
Epoch 0 - Loss: 0.7208, CE Loss: 0.7208:  12%|█▏        | 31/266 [11:18<1:24:50, 21.66s/it]
Epoch 0 - Loss: 0.4524, CE Loss: 0.4524:  12%|█▏        | 31/266 [11:24<1:24:50, 21.66s/it]
Epoch 0 - Loss: 0.6585, CE Loss: 0.6585:  12%|█▏        | 31/266 [11:29<1:24:50, 21.66s/it]
Epoch 0 - Loss: 0.6585, CE Loss: 0.6585:  12%|█▏        | 32/266 [11:33<1:24:32, 21.68s/it]
Epoch 0 - Loss: 0.5517, CE Loss: 0.5517:  12%|█▏        | 32/266 [11:34<1:24:32, 21.68s/it]
Epoch 0 - Loss: 0.2600, CE Loss: 0.2600:  12%|█▏        | 32/266 [11:40<1:24:32, 21.68s/it]
Epoch 0 - Loss: 0.5205, CE Loss: 0.5205:  12%|█▏        | 32/266 [11:45<1:24:32, 21.68s/it]
Epoch 0 - Loss: 0.3482, CE Loss: 0.3482:  12%|█▏        | 32/266 [11:51<1:24:32, 21.68s/it]
Epoch 0 - Loss: 0.3482, CE Loss: 0.3482:  12%|█▏        | 33/266 [11:55<1:24:10, 21.68s/it]
Epoch 0 - Loss: 0.7043, CE Loss: 0.7043:  12%|█▏        | 33/266 [11:56<1:24:10, 21.68s/it]
Epoch 0 - Loss: 0.3203, CE Loss: 0.3203:  12%|█▏        | 33/266 [12:02<1:24:10, 21.68s/it]
Epoch 0 - Loss: 0.7264, CE Loss: 0.7264:  12%|█▏        | 33/266 [12:07<1:24:10, 21.68s/it]
Epoch 0 - Loss: 0.3111, CE Loss: 0.3111:  12%|█▏        | 33/266 [12:12<1:24:10, 21.68s/it]
Epoch 0 - Loss: 0.3111, CE Loss: 0.3111:  13%|█▎        | 34/266 [12:16<1:23:49, 21.68s/it]
Epoch 0 - Loss: 0.6269, CE Loss: 0.6269:  13%|█▎        | 34/266 [12:18<1:23:49, 21.68s/it]
Epoch 0 - Loss: 0.5187, CE Loss: 0.5187:  13%|█▎        | 34/266 [12:23<1:23:49, 21.68s/it]
Epoch 0 - Loss: 1.1741, CE Loss: 1.1741:  13%|█▎        | 34/266 [12:29<1:23:49, 21.68s/it]
Epoch 0 - Loss: 0.3615, CE Loss: 0.3615:  13%|█▎        | 34/266 [12:34<1:23:49, 21.68s/it]
Epoch 0 - Loss: 0.3615, CE Loss: 0.3615:  13%|█▎        | 35/266 [12:38<1:23:23, 21.66s/it]
Epoch 0 - Loss: 0.3176, CE Loss: 0.3176:  13%|█▎        | 35/266 [12:39<1:23:23, 21.66s/it]
Epoch 0 - Loss: 0.7197, CE Loss: 0.7197:  13%|█▎        | 35/266 [12:45<1:23:23, 21.66s/it]
Epoch 0 - Loss: 0.5808, CE Loss: 0.5808:  13%|█▎        | 35/266 [12:50<1:23:23, 21.66s/it]
Epoch 0 - Loss: 1.1913, CE Loss: 1.1913:  13%|█▎        | 35/266 [12:56<1:23:23, 21.66s/it]
Epoch 0 - Loss: 1.1913, CE Loss: 1.1913:  14%|█▎        | 36/266 [13:00<1:23:03, 21.67s/it]
Epoch 0 - Loss: 0.4510, CE Loss: 0.4510:  14%|█▎        | 36/266 [13:01<1:23:03, 21.67s/it]
